"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.26537,0.4549534,0.2764206,0.79253,0.31019354,0.2365573,0.7787075,0.4048747,0.3787627,1.8012625,0.5047703,0.3888094,2.549125,0.8179566,0.1957275,2.6340825,0.5169615,0.715026,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,1,0.103775024414062,142.278333187103,"3_84_1",3,84,1,1246,FALSE,TRUE,6,0.0701939967186441,5,FALSE
"2",1.28041,0.4358931,0.2436312,1.750975,0.34314751,0.2360725,0.58347,0.8485648,0.2216755,0.86055,0.7833409,0.3891676,2.7491075,0.7532822,0.1904736,2.8427725,0.4364678,0.71646,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,1,0.10288405418396,144.329768180847,"3_85_4",3,85,4,1264,FALSE,TRUE,7,0.13900327910115,1,FALSE
"3",1.26537,0.4549534,0.2764206,0.79253,0.31019354,0.2365573,0.7787075,0.4048747,0.3787627,1.2178575,0.3366331,0.3946945,2.9782175,0.4755572,0.1957275,2.6340825,0.5169615,0.715026,0.6583892,0.941425690426633,0.759840213716376,0.978589735878532,0.05535167567781,0.58898497062728,0.200828290889326,0.58898497062728,0.294622680651228,0.92389752684117,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,1,0.122460842132568,145.738864183426,"3_86_1",3,86,1,1276,FALSE,TRUE,7,0.0643524281160705,5,FALSE
"4",1.28041,0.4358931,0.2436312,1.750975,0.34495561,0.2372986,0.57859075,0.8485648,0.2216755,0.86055,0.7833409,0.3891676,2.7491075,0.7532822,0.1904736,2.8427725,0.4364678,0.71646,0.6549098,0.934784200599277,0.779885904471832,0.957716444828275,0.0584054796533482,0.569683900754449,0.266530520770889,0.569683900754449,0.4613489074658,0.78358117191123,49754.4974882158,0.000659896,65481090.2533626,1e-04,1,0.115192890167236,147.831424236298,"3_87_4",3,87,4,1294,FALSE,TRUE,6,0.138377779722296,1,FALSE
"5",1.2720125,0.4987055,0.2408046,1.10257,0.34867212,0.1706221,0.54955375,0.8076603,0.2510587,1.2456025,0.9086773,0.3875161,2.601725,0.7579981,0.1879116,2.66585,0.4989456,0.7145385,0.6571013,0.937371629553212,0.775211758034573,0.967440431523754,0.0572351387171271,0.569824166652125,0.247658478252047,0.569824166652125,0.410862576060627,0.832123745806209,34658.4251532488,0.000429332,65481090.2533626,1e-04,1,0.106489181518555,148.640428066254,"3_87_11",3,87,11,1301,FALSE,TRUE,3,0.115954237760242,3,FALSE
"6",1.28041,0.4358931,0.2436312,1.380255,0.4269114,0.3092227,0.6429295,0.7478229,0.11082844,1.6620625,0.8766761,0.3847492,2.97723,0.8938072,0.1667337,2.8427725,0.4364678,0.71646,0.6549098,0.935724589844676,0.781687827363342,0.951010812967881,0.0579828572075006,0.567347303524283,0.28688729551262,0.567347303524283,0.526820207501658,0.790284327050332,49754.4974882158,0.000659896,65481090.2533626,1e-04,1,0.0993800163269043,151.450205087662,"3_89_4",3,89,4,1324,FALSE,TRUE,3,0.16742184192805,3,FALSE
"7",1.2720125,0.4987055,0.2408046,1.10257,0.34867212,0.1706221,0.54955375,0.8076603,0.2510587,1.2456025,0.9086773,0.3875161,2.601725,0.7579981,0.1879116,2.6552725,0.5039415,0.7143405,0.6590723,0.938968744987756,0.774055609390876,0.970369339741545,0.0565006356977841,0.571287669598779,0.23625692349053,0.571287669598779,0.386398413001385,0.86525978299114,24875.3500151263,0.000279914,65481090.2533626,1e-04,1,0.107221126556396,152.218295097351,"3_89_11",3,89,11,1331,FALSE,TRUE,4,0.105072931356667,3,FALSE
"8",1.27293,0.3552489,0.2474319,1.29668,0.35290292,0.2360725,0.58347,0.8485648,0.2216755,0.86055,0.7833409,0.3891676,2.7491075,0.7532822,0.1904736,2.8427725,0.4364678,0.71646,0.6549098,0.934805669975334,0.780909251347119,0.957795832457083,0.0583958651700867,0.568358080580084,0.266280196892718,0.568358080580084,0.463179309347247,12.9813564845743,49754.4974882158,0.000659896,65481090.2533626,1e-04,1,0.109326839447021,154.823837041855,"3_91_4",3,91,4,1354,FALSE,TRUE,2,0.139222080094004,1,FALSE
"9",1.245245,0.36831265,0.2217354,1.14666,0.4086211,0.236095,0.5890415,0.8639963,0.2711029,0.6608375,0.9086773,0.3875161,2.601725,0.7579981,0.1879116,2.66585,0.4989456,0.70749,0.6548078,0.941788835187381,0.766349663978433,0.973153978870737,0.0551798262544905,0.586939346522503,0.212373910554357,0.586939346522503,0.313812860052331,0.918614944234274,7184.75073587672,9.7235e-06,65481090.2533626,1e-04,1,0.101274013519287,155.5914311409,"3_91_11",3,91,11,1361,FALSE,TRUE,7,0.0728813182092018,5,FALSE
"10",1.26537,0.4549534,0.2764206,0.79253,0.31019354,0.2365573,0.7787075,0.4048747,0.3787627,2.7297575,0.3366331,0.3946945,2.9782175,0.4755572,0.1957275,2.6340825,0.5169615,0.715026,0.6583892,0.941497328001151,0.759176688823356,0.978932069535651,0.0553178172084548,0.589798047273943,0.199216276245945,0.589798047273943,0.282528024181126,0.927910098138927,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,1,0.100558996200562,156.170837163925,"3_92_1",3,92,1,1366,FALSE,TRUE,7,0.0590043682811235,5,FALSE
