"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"1","3_100_1",13.2731490455457,0.265269611562766,0.584698617136835,0.204392998516278,0.055431623900721,0.349303738301855,0.615928653538767,0.141088566277644,0.217623753166262,0.338149322415313,5,FALSE
"2","3_100_4",0.909095550072365,0.396163859034492,0.572199033995366,0.27711487770309,0.0560160936113059,0.516175457058774,0.33510734214585,0.356678819353709,0.168131188175091,0.555462006357684,5,FALSE
"3","3_101_11",0.831525654096576,0.412318878160423,0.569218458698674,0.247131464103845,0.057225610783495,0.539605214271867,0.407784530742897,0.437202526838485,0.504471169421682,0.618113797067747,3,FALSE
"4","3_101_8",39.829328046203,0.452884759456369,0.569397363289766,0.274977909728116,0.0566231609480707,0.61873428122963,0.203261489290269,0.455199487906557,0.407348790302266,0.563180072309012,3,FALSE
"5","3_102_1",0.925105439811344,0.283847388801497,0.589698659785621,0.199073313073827,0.0553140640780979,0.349493478146016,0.49095986005503,0.0276567250264197,0.188789747574422,0.334099144438456,5,FALSE
"6","3_102_5",52.2620680755039,0.418830172186068,0.570716267021737,0.236130463278891,0.0576102763511223,0.543063455760489,0.386555713205971,0.326351514899144,0.538896595461724,0.641160694972595,3,FALSE
"7","3_103_2",0.830354015213545,0.410731305344507,0.570979337106744,0.229221699281832,0.0573353454909985,0.536881297393737,0.414024421834772,0.514292531385639,0.509661772130828,0.59123977876413,3,FALSE
"8","3_104_10",0.811383495767087,0.3531268640956,0.57592841799768,0.225710737463392,0.0575719076289646,0.407095329465781,0.659855299099996,0.314242404130992,0.486924801836802,0.65675344949795,2,FALSE
"9","3_104_12",0.705401081699908,0.531709596412718,0.568565973721627,0.288040185835363,0.0605370880563856,0.640769764498656,0.190932185375422,1,0.997424601693868,0.877206721757492,1,FALSE
"10","3_104_4",0.90049301500558,0.343815076763844,0.575067802533838,0.240016889792047,0.0559318362185022,0.450045386139467,0.503059754832199,0.227589673738462,0.198751490206237,0.542315274135428,5,FALSE
"11","3_104_6",0.824807082380546,0.387204072653542,0.57208153944667,0.224793181580717,0.057364550743475,0.397545488406048,0.448421290810958,0.357199716835851,0.430975606669186,0.626620129622437,3,FALSE
"12","3_105_11",0.832975026681175,0.412628087771846,0.569860379391215,0.243821198805749,0.0571308253848551,0.540876279229832,0.393556800884629,0.390977026852616,0.497585825102255,0.612723022181059,3,FALSE
"13","3_105_3",0.889679636287207,0.328486580472899,0.578120737425343,0.210431469119989,0.0560185681559224,0.323106538263421,0.449206773152467,0.208895620280248,0.201433608142762,0.474155961427846,5,FALSE
"14","3_106_12",0.705753696438452,0.532027568357698,0.56847251334774,0.295198808722428,0.0605337592963546,0.645930483574209,0.190196520197709,0.995003323210206,1,0.878384320277582,1,FALSE
"15","3_106_14",0.803104612223503,0.31806751699109,0.584987151699534,0.232149995067396,0.0584845650894479,0.684982755180736,0.801598264896311,0.21179834861112,0.447884570631951,0.493416177910689,2,FALSE
"16","3_107_1",0.776044311225997,0.411513526142811,0.571721157824232,0.266970053635969,0.0586760423825979,0.375300608770865,0.523646946182189,0.437220503680112,0.625876811207268,0.775382718632968,3,FALSE
"17","3_108_15",0.826465795046269,0.366276114455346,0.577944296183742,0.21664461197399,0.0573297963657571,0.459827847222445,0.560028432328139,0.420935374560142,0.446451216736757,0.587931852054784,3,TRUE
"18","3_108_4",0.906376190398352,0.320959257817432,0.581002494300325,0.214160880142486,0.056331098086018,0.263535419400588,0.472815184013598,0.178599316084794,0.139949763343759,0.522010048748761,5,FALSE
"19","3_109_1",0.774706442173803,0.412391923982039,0.571637141821896,0.270127787531416,0.058708791012384,0.307126999934007,0.519193201088296,0.428237242554229,0.628190903280847,0.790533625469534,3,FALSE
"20","3_109_11",0.823659580992404,0.427506448541547,0.569123840862108,0.255426987202293,0.0573976810697143,0.534242969588025,0.359721470453627,0.511974422311324,0.535225923614768,0.620993505028358,3,FALSE
"21","3_109_15",0.7926492892121,0.358183128692362,0.577732718773961,0.25494194365111,0.0581303095479038,0.697577109901957,0.785424978428477,0.253073205772045,0.469706405935181,0.733857937514914,2,FALSE
"22","3_109_2",0.830511878243336,0.410663217150361,0.570986682420569,0.229175005791675,0.0573319406989978,0.537039123772691,0.413547377836714,0.510667866443678,0.509009057884223,0.591339916050684,3,FALSE
"23","3_110_11",0.868488192831726,0.394088002599335,0.572156638024776,0.221647390516169,0.0562804508442831,0.378886203419149,0.298220030759956,0.286450138134262,0.393918176709959,0.499585072803928,3,FALSE
"24","3_110_12",0.715632170015839,0.524282787695922,0.569694307669136,0.283696890089981,0.0598441354878701,0.599440849978672,0.166826125861557,0.936932563176876,0.829181738761689,0.853576774133835,1,FALSE
"25","3_110_14",0.778511093704462,0.365292766233027,0.57468340693206,0.27472333341425,0.0592483025408935,0.639301240712634,0.872099873447817,0.244730517482077,0.535083536698237,0.877261047961607,2,FALSE
"26","3_110_15",0.83210316860747,0.374891036749721,0.5735479575923,0.247512541377963,0.057255199947013,0.492124763593228,0.572409911106778,0.460126235832204,0.460021310635102,0.629297402314788,3,FALSE
"27","3_110_6",0.775202410531297,0.423646658222117,0.570253190639366,0.262487503644484,0.0585168629962957,0.416917472772354,0.445104456558144,0.408500862428642,0.589053584918866,0.766501980102742,3,FALSE
"28","3_111_1",0.773391039266867,0.413146262658945,0.571543007609765,0.271270963570263,0.0587313513890619,0.282959552580078,0.51407995828763,0.423166350906659,0.632541225240295,0.792213297981102,3,FALSE
"29","3_111_11",0.841823710115295,0.36662927410129,0.571234493164318,0.242998982984914,0.0567991897169956,0.557303579421162,0.56908213953016,0.250957864423549,0.450673943372288,0.596231803359125,2,FALSE
"30","3_111_3",0.795962065288063,0.359137690332129,0.578321265694304,0.225368248045922,0.0582562856413226,0.667681268024788,0.76844604472878,0.493549812819251,0.572079315268765,0.621203196361018,2,FALSE
"31","3_111_4",0.857963752102781,0.336416846184832,0.577526981597442,0.214793164595036,0.0562646908675298,0.604216665684565,0.647499126610365,0.406165008780773,0.372166781042939,0.455170189287094,2,FALSE
"32","3_112_4",0.900682135910934,0.378756292536081,0.5746284202891,0.232749445916433,0.0559507298129689,0.432494694625397,0.315856253446953,0.33330795419483,0.181891746451833,0.47289285160611,5,FALSE
"33","3_113_11",26.5019303694007,0.391135586012615,0.572731741199594,0.239985401035054,0.0565045026657633,0.543581778977705,0.40689932127317,0.186764563615476,0.404626440591731,0.572909859557472,2,FALSE
"34","3_113_13",43.3538942419033,0.317386070967304,0.575444777714811,0.216088972055443,0.0574783626152822,0.466398160999233,0.66830785176271,0.143327256823432,0.309017138756083,0.557522412352562,2,FALSE
"35","3_113_2",21.256297691833,0.412028448541364,0.571209822710301,0.258482702360743,0.0571686468346558,0.556019379776169,0.344595275656271,0.351810558667885,0.366200115403287,0.591213761884803,3,FALSE
