"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","search_S",204158.543317093,3744855.29944909,0.0130210067976136,23852.5815251535,0.0116323753469902,3744855.29944909,0.0130210067976136,23852.5815251535,0.0116323753469902,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,2429880,15476.9426751592,28126.5612608964,12649.6185857371,36165.4260277781,0.0644012269879381,0.147813633716008,2.33672933904603,1.54116882292504,0.64885818161184,5,FALSE,1.81096167004549,0.0686831858801092,0.924051091970682,2.70173634500482,0.0232233094686696
"12","newsletter",0,0,0,0,0,0,0,0,0,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,0
"13","(Intercept)",473989.91353675,74416416.4252697,0.257157570666634,473989.91353675,0.23178116746816,74416416.4252697,0.257157570666634,473989.91353675,0.23178116746816,TRUE,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,"3_85_4",3,85,4,1264,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"14","trend",0.0968570345266913,27101230.6811497,0.0936525430654024,172619.30370159,0.0844108758369041,27101230.6811497,0.0936525430654024,172619.30370159,0.0844108758369041,TRUE,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,"3_85_4",3,85,4,1264,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"15","season",0.293494622300635,107445.058116465,0.000371293209921123,684.363427493407,0.000334653860064968,107445.058116465,0.000371293209921123,684.363427493407,0.000334653860064968,TRUE,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,"3_85_4",3,85,4,1264,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"16","holiday",0.862201010558906,6000499.93720308,0.020735666412881,240019.997488123,0.117369829282641,6000499.93720308,0.020735666412881,240019.997488123,0.117369829282641,TRUE,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,"3_85_4",3,85,4,1264,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.168401129686204,146717283.067939,0.507004528045887,934504.987693879,0.456973135643977,146717283.067939,0.507004528045887,934504.987693879,0.456973135643977,TRUE,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,"3_85_4",3,85,4,1264,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"18","events",0,0,0,0,0,0,0,0,0,TRUE,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,"3_85_4",3,85,4,1264,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"19","tv_S",283652.080919221,10198199.898285,0.035241475429676,64956.6872502229,0.0317638337351529,10198199.898285,0.035241475429676,64956.6872502229,0.0317638337351529,TRUE,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,"3_85_4",3,85,4,1264,7,7774236.44,49517.4295541401,110260.653486226,60743.2239320859,17789.2794916012,0.206047362680601,0.291063276665166,0.359252886342801,1.31179440926355,0.762314576840897,1,FALSE,1.23548351122741,0.0329679482764097,0.976737022496084,1.49471764814765,0.612349105962008
"20","ooh_S",274842.07961034,8505641.51707506,0.029392575113971,54176.0606183125,0.0264921050434224,8505641.51707506,0.029392575113971,54176.0606183125,0.0264921050434224,TRUE,0.6549098,0.934794060739659,0.779859382027883,0.957757906933922,0.0584010642509241,0.569718221487451,0.266399812426338,0.569718221487451,0.462771101092385,0.783379632536629,49754.4974882158,0.000659896,65481090.2533626,1e-04,"3_85_4",3,85,4,1264,7,24719081.6,157446.379617834,158799.417286086,1353.03766825169,62828.3277696143,0.655151359349006,0.242756556528713,0.399045871503149,0.344092133142805,2.9061983802605,1,FALSE,0.359936577020678,0.0212361993573123,0.191553107284198,0.525208685039181,0.502978532559874
