"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"facebook_S","3_130_15","revenue","facebook_S",2018-12-10,2018-12-31,"4 weeks",0.7,4760.70388815002,1.5,10201.50833175,3,0.0999999999999999,680.100555450001,2.5,17002.5138862501,1002234.0659765,37730337.0393098,6383.65647118789,240320.618084776,0.0265630827769259,27204.0222180001,931658.528884667,6801.00555450002,232914.632221167,0.0291995633320368,6801.00555450002,232914.632221167,0.0291995633320368,931658.528884667,38220.8576557057,434381.637315341,4.36883939198015,1737526.54926136,0.0879891191808348,5.6198833171686,0.177939637455644,232914.632221167,0,10201.50833175,0.5,232914.632221162,-2.02060590481778e-14,0.0437993449980561,931658.528884648,17002.5138862501,1.5,232914.632221163,-1.45439216225896e-14,0.0729989083300931,931658.528884653,51820.0214884998,3.63108860101784,533063.627386288,2132254.50954515,0.0972117001165193,5.07964310799227,0.196864224265403,0.355804779560303,72127.8948339834,2.41983539005741,603640.255546514,2414561.02218606,0.119488212012437,4.24219002651798,0.235727299755313,0.887134388341388,0.227178088560195,0.389654174327585
"ooh_S","3_130_15","revenue","ooh_S",2018-12-10,2018-12-31,"4 weeks",0.7,8065.96,1.5,17284.2,3,0.0999999999999999,1152.28,2.5,28807,24719081.6,37730337.0393098,157446.379617834,240320.618084776,0.655151359349006,46091.2,931658.528884667,11522.8,232914.632221167,0.0494722031420439,11522.8,232914.632221167,0.0494722031420439,931658.528884667,29291.8115671602,434381.637315341,0.548570255796221,1737526.54926136,0.0674333559498413,2.54207411108066,0.393379561847192,232914.632221167,0,8065.96,-0.3,232914.632221162,-2.02060590481778e-14,0.0346305421994314,931658.528884648,1152.28,-0.9,232914.632221163,-1.45439216225896e-14,0.00494722031420445,931658.528884653,27336.2063711731,0.583870671896875,533063.627386288,2132254.50954515,0.0512813198401994,3.3890828086394,0.295065082933593,-0.0667628627715059,22994.7304834166,0.678719847172033,603640.255546514,2414561.02218606,0.0380934344125178,19.9558531636552,0.0501106112476945,-0.214977522619442,0.227178088560195,0.389654174327585
"print_S","3_130_15","revenue","print_S",2018-12-10,2018-12-31,"4 weeks",0.7,7210.67666666667,1.5,15451.45,3,0.0999999999999999,1030.09666666667,2.5,25752.4166666667,1804904.93333333,37730337.0393098,11496.2097664544,240320.618084776,0.0478369682055284,41203.8666666667,931658.528884667,10300.9666666667,232914.632221167,0.0442263612570518,10300.9666666667,232914.632221167,0.0442263612570518,931658.528884667,34000.6798923684,434381.637315341,1.4002796529021,1737526.54926136,0.0782737504801233,3.30072710577665,0.302963549531219,232914.632221167,0,15451.45,0.5,232914.632221162,-2.02060590481778e-14,0.066339541885579,931658.528884648,25752.4166666667,1.5,232914.632221163,-1.45439216225896e-14,0.110565903142631,931658.528884653,40983.3285166891,1.31101276050322,533063.627386288,2132254.50954515,0.0768826204061946,2.65239369228707,0.377017937762373,0.205367911654261,53587.9652075214,1.13884705226519,603640.255546514,2414561.02218606,0.0887746711971765,2.08089073352422,0.480563435594904,0.5760851070378,0.227178088560195,0.389654174327585
"search_S","3_130_15","revenue","search_S",2018-12-10,2018-12-31,"4 weeks",0.7,33054,1.5,70830,3,0.0999999999999999,4721.99999999999,2.5,118050,2429880,37730337.0393098,15476.9426751592,240320.618084776,0.0644012269879381,188880,931658.528884667,47220,232914.632221167,0.202735223415082,47220,232914.632221167,0.202735223415082,931658.528884667,216914.510758768,434381.637315341,5.60549848459777,1737526.54926136,0.499363905204165,4.59369993135891,0.217689447491661,232914.632221167,0,70830,0.5,232914.632221162,-2.02060590481778e-14,0.30410283512263,931658.528884648,118050,1.5,232914.632221163,-1.45439216225896e-14,0.506838058537714,931658.528884653,321499.524595541,3.28718729270622,533063.627386288,2132254.50954515,0.603116603869438,4.5390304192509,0.220311367766739,0.482148536171854,410020.902253546,0.962140082556289,603640.255546514,2414561.02218606,0.67924711529109,3.47328167940318,0.287912151188334,0.890241924430467,0.227178088560195,0.389654174327585
"tv_S","3_130_15","revenue","tv_S",2018-12-10,2018-12-31,"4 weeks",0.7,109948.902,1.2,188483.832,3,0.0999999999999999,15706.986,1.6,251311.776,7774236.44,37730337.0393098,49517.4295541401,240320.618084776,0.206047362680601,628279.44,931658.528884667,157069.86,232914.632221167,0.674366648853785,157069.86,232914.632221167,0.674366648853785,931658.528884667,115953.777441339,434381.637315341,0.84163532211096,1737526.54926136,0.266939869185036,0.738230602875298,1.35459028128223,232914.632221167,0,128365.713889412,-0.182747639238922,232914.632221162,-2.02060590481778e-14,0.551127735794304,931658.528884648,70957.4216682466,-0.548242917716699,232914.632221163,-1.45439216225896e-14,0.304649909675358,931658.528884653,91424.5464143842,0.85932012819103,533063.627386288,2132254.50954515,0.171507755767648,0.712219358614304,1.40406180751054,-0.211543181845576,44908.7627680467,0.719247030414408,603640.255546514,2414561.02218606,0.074396567086779,0.632897330712107,1.58003510439023,-0.612701166283555,0.227178088560195,0.389654174327585
